1.txt,#genre#
1.txt Stream 1069,http://183.131.246.250:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路5』
1.txt Stream 1073,http://113.56.95.69:53765/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路9』
1.txt Stream 1076,http://222.173.108.238:352/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路12』
1.txt Stream 1077,http://222.241.134.93:8099/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路13』
1.txt Stream 1078,http://113.220.232.51:9999/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 1079,http://118.122.189.74:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
1.txt Stream 1080,http://183.215.134.239:19901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路16』
1.txt Stream 1081,http://218.92.37.174:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路17』
1.txt Stream 1082,http://223.112.219.174:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路18』
1.txt Stream 1083,http://42.48.105.224:9002/tsfile/live/0138_2.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路19』
1.txt Stream 1084,http://58.221.214.82:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路20』
1.txt Stream 1085,http://60.172.130.146:352/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路21』
1.txt Stream 1107,http://49.87.154.246:85/tsfile/live/0116_1.m3u8?key=txiptv$IPV4『线路7』
1.txt Stream 1111,http://110.7.131.4:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1113,http://58.221.214.82:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 1114,http://218.92.37.174:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 1115,http://222.241.134.93:8099/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路15』
1.txt Stream 1116,http://42.48.105.224:9002/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路16』
1.txt Stream 1117,http://60.172.130.146:352/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路17』
1.txt Stream 113,http://113.220.232.51:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 114,http://42.48.105.224:9002/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路12』
1.txt Stream 1140,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$IPV4『线路4』
1.txt Stream 1141,http://76.5432123.xyz/杂项代理/学习强国.php?id=nmgws$IPV4『线路5』
1.txt Stream 1143,http://183.237.95.108:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路7』
1.txt Stream 1148,http://183.162.119.154:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路12』
1.txt Stream 1149,http://60.172.130.146:352/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 115,http://183.162.119.154:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 1153,http://58.243.224.244:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
1.txt Stream 116,http://60.172.130.146:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 1160,http://222.173.108.238:352/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 1162,http://221.227.111.19:50001/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路10』
1.txt Stream 1163,http://58.220.219.14:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1164,http://222.241.134.93:8099/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路12』
1.txt Stream 1166,http://42.48.105.224:9002/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 1167,http://60.172.130.146:352/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
1.txt Stream 117,http://218.92.37.174:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
1.txt Stream 118,http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路16』
1.txt Stream 1182,http://58.243.224.244:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
1.txt Stream 1185,http://76.5432123.xyz/杂项代理/学习强国.php?id=nxws$IPV4『线路4』
1.txt Stream 1189,http://110.7.131.4:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 119,http://222.241.134.93:8099/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路17』
1.txt Stream 1192,http://218.92.37.174:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1194,http://118.122.189.74:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 1195,http://42.48.105.224:9002/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 1196,http://61.157.139.15:9901/tsfile/live/2403_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
1.txt Stream 120,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路18』
1.txt Stream 1203,http://58.19.43.46:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路4』
1.txt Stream 1204,http://76.5432123.xyz/杂项代理/学习强国.php?id=qhws$IPV4『线路5』
1.txt Stream 1207,http://58.221.214.82:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 1208,http://222.241.134.93:8099/tsfile/live/0140_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路9』
1.txt Stream 1209,http://118.122.189.74:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路10』
1.txt Stream 121,http://61.157.139.15:9901/tsfile/live/2375_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路19』
1.txt Stream 1210,http://61.157.139.15:9901/tsfile/live/2402_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1212,http://58.243.224.244:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
1.txt Stream 1219,http://222.173.108.238:352/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 1222,http://221.227.111.19:50001/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1223,http://222.241.134.93:8099/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路12』
1.txt Stream 1224,http://218.92.37.174:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 1225,http://223.112.219.174:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 1226,http://42.48.105.224:9002/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
1.txt Stream 1238,http://58.243.224.244:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
1.txt Stream 1243,http://183.131.246.250:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路6』
1.txt Stream 1247,http://222.173.108.238:352/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路10』
1.txt Stream 1248,http://221.227.111.19:50001/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1249,http://222.241.134.93:8099/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路12』
1.txt Stream 1250,http://183.162.119.154:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 1251,http://58.220.219.14:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 1252,http://42.48.105.224:9002/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
1.txt Stream 1253,http://61.157.139.15:9901/tsfile/live/2394_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路16』
1.txt Stream 1271,http://76.5432123.xyz/杂项代理/学习强国.php?id=hinws$IPV4『线路5』
1.txt Stream 1272,http://113.56.95.69:53765/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路6』
1.txt Stream 1274,http://58.221.214.82:9901/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 1275,http://42.48.105.224:9002/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路9』
1.txt Stream 1276,http://183.162.119.154:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路10』
1.txt Stream 1277,http://118.122.189.74:9901/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1278,http://183.223.157.33:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路12』
1.txt Stream 1279,http://223.112.219.174:9901/tsfile/live/0120_2.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 1280,http://60.172.130.146:352/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 1281,http://61.157.139.15:9901/tsfile/live/2404_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
1.txt Stream 1291,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd$IPV4『线路1』
1.txt Stream 1297,http://110.7.131.4:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路7』
1.txt Stream 1299,http://218.92.37.174:9901/tsfile/live/0120_6.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路9』
1.txt Stream 13,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$IPV4『线路8』
1.txt Stream 1300,http://118.122.189.74:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路10』
1.txt Stream 1303,http://58.243.224.244:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
1.txt Stream 1306,http://120.198.95.220:9901/tsfile/live/1007_1.m3u8?key=txiptv$IPV4『线路4』
1.txt Stream 1307,http://183.131.246.250:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路5』
1.txt Stream 1311,http://110.7.131.4:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路9』
1.txt Stream 1313,http://223.112.219.174:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1314,http://222.241.134.93:8099/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路12』
1.txt Stream 1316,http://183.162.119.154:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 132,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 1324,http://76.5432123.xyz/杂项代理/学习强国.php?id=xzws$IPV4『线路4』
1.txt Stream 1326,http://183.237.95.108:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路6』
1.txt Stream 133,http://183.223.157.33:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路9』
1.txt Stream 1331,http://218.92.37.174:9901/tsfile/live/0120_5.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1332,http://42.48.105.224:9002/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路12』
1.txt Stream 1333,http://58.220.219.14:9901/tsfile/live/0120_5.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 1341,http://76.5432123.xyz/杂项代理/学习强国.php?id=adws$IPV4『线路2』
1.txt Stream 1346,http://76.5432123.xyz/杂项代理/学习强国.php?id=kbws$IPV4『线路1』
1.txt Stream 1349,http://61.157.139.15:9901/tsfile/live/2415_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路4』
1.txt Stream 1358,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8?zjild$IPV4『线路2』
1.txt Stream 1363,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8$IPV4『线路7』
1.txt Stream 1366,http://120.198.95.220:9901/tsfile/live/1038_1.m3u8?key=txiptv$IPV4『线路3』
1.txt Stream 1368,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路5』
1.txt Stream 1371,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 1376,http://183.237.95.108:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路5』
1.txt Stream 1385,http://183.162.119.154:9901/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路7』
1.txt Stream 1386,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 1390,http://jf.jxx2023.work:40446/tsfile/live/1008_1.m3u8?key=txiptv$IPV4『线路4』
1.txt Stream 1403,http://180.213.174.225:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4
1.txt Stream 1404,http://live.wanyuannews.com/wytv/hd/live.m3u8?zsicd$IPV4『线路1』
1.txt Stream 1407,http://183.237.95.108:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路4』
1.txt Stream 1409,http://60.172.130.146:352/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路6』
1.txt Stream 1410,http://180.213.174.225:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路7』
1.txt Stream 1412,http://120.198.101.106:9901/tsfile/live/1086_1.m3u8?key=txiptv$IPV4『线路1』
1.txt Stream 1414,http://183.237.95.108:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路3』
1.txt Stream 1417,http://61.133.118.228:5001/douyu/9548279$IPV4『线路1』
1.txt Stream 1419,http://183.237.95.108:9901/tsfile/live/1104_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路3』
1.txt Stream 1422,http://36.129.204.117:9003//hls/67/index.m3u8$IPV4『线路6』
1.txt Stream 1423,http://221.226.4.10:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路7』
1.txt Stream 1424,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=dmxchd&apiKey=73c963d13814ce7d0e4743c5e7d033cc$IPV4『线路8』
1.txt Stream 147,http://113.220.232.51:9999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路10』
1.txt Stream 148,http://61.157.139.15:9901/tsfile/live/2376_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 149,http://221.227.111.19:50001/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路12』
1.txt Stream 1490,http://43.138.0.72:35455/yy/1382736823$IPV4『线路1』
1.txt Stream 15,http://221.227.111.19:50001/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路10』
1.txt Stream 150,http://60.172.130.146:352/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 151,http://42.48.105.224:9002/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路14』
1.txt Stream 152,http://58.220.219.14:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
1.txt Stream 153,http://218.92.37.174:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路16』
1.txt Stream 154,http://222.241.134.93:8099/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路17』
1.txt Stream 155,http://118.122.189.74:9901/tsfile/live/0006_2.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路18』
1.txt Stream 156,http://183.223.157.33:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路19』
1.txt Stream 157,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路20』
1.txt Stream 1577,http://42.48.105.224:9002/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路1』
1.txt Stream 1579,http://58.243.224.244:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路3』
1.txt Stream 158,http://223.112.219.174:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路21』
1.txt Stream 1580,http://60.172.130.146:352/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路4』
1.txt Stream 1588,http://58.221.214.82:9901/tsfile/live/0008_2.m3u8?key=txiptv$IPV4『线路1』
1.txt Stream 159,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路22』
1.txt Stream 1591,http://183.162.119.154:9901/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路4』
1.txt Stream 1592,http://58.221.214.82:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路5』
1.txt Stream 1593,http://42.48.105.224:9002/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路6』
1.txt Stream 1594,http://221.226.4.10:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路7』
1.txt Stream 1595,http://123.138.22.30:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路8』
1.txt Stream 1598,http://120.198.95.220:9901/tsfile/live/1034_1.m3u8?key=txiptv$IPV4『线路2』
1.txt Stream 1599,http://183.237.95.108:9901/tsfile/live/1100_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路3』
1.txt Stream 16,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1603,http://113.218.229.47:8081/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路7』
1.txt Stream 1605,http://61.157.139.15:9901/tsfile/live/2420_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路1』
1.txt Stream 1612,http://8.218.190.107:80/douyu/9548279$IPV4『线路4』
1.txt Stream 1614,http://zzy789.xyz/douyu1.php?id=11595245$IPV4『线路2』
1.txt Stream 1615,http://cdn.jdshipin.com:8880/huya.php?id=11352919%24%E8%AE%A2%E9%98%85%E6%BA%90$IPV4『线路3』
1.txt Stream 1617,http://8.218.190.107:80/douyu/3949681$IPV4『线路5』
1.txt Stream 1618,http://58.243.224.244:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
1.txt Stream 1619,http://120.198.95.220:9901/tsfile/live/1033_1.m3u8?key=txiptv$IPV4『线路2』
1.txt Stream 1620,http://116.128.243.121:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路3』
1.txt Stream 1623,http://120.198.101.106:9901/tsfile/live/1061_1.m3u8?key=txiptv$IPV4『线路6』
1.txt Stream 1624,http://183.237.95.108:9901/tsfile/live/1099_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路7』
1.txt Stream 1627,http://222.241.134.93:8099/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路10』
1.txt Stream 1628,http://183.162.119.154:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1629,http://116.128.242.83:9901/tsfile/live/1002_1.m3u8?key=txiptv$IPV4『线路12』
1.txt Stream 163,http://58.243.224.244:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
1.txt Stream 1631,http://116.128.242.83:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0%24%E5%8C%97%E4%BA%AC%E9%85%92%E5%BA%97%E6%BA%90$IPV4『线路14』
1.txt Stream 1641,http://116.128.242.83:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路5』
1.txt Stream 1642,http://222.241.134.93:8099/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路6』
1.txt Stream 1644,http://180.213.174.225:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4
1.txt Stream 1652,http://183.162.119.154:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4
1.txt Stream 1654,http://vapi.91kds.cc/live2/ahtv2.m3u8?id=ahgj&apiKey=2079b631b519ec17da0bc09844eb8419$IPV4『线路2』
1.txt Stream 1656,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8?zanhd$IPV4『线路2』
